coordPair,X,Y,SCF
0-0,0.0,0.0,-4270.69559474 
0-1,1.1179142857142856,0.0,-4270.70349539 
0-2,2.2358285714285713,0.0,-4270.70760102 
0-3,3.353742857142857,0.0,-4270.69810227 
0-4,4.4716571428571426,0.0,-4270.69810072 
0-5,5.589571428571428,0.0,-4270.70760038 
0-6,6.707485714285714,0.0,-4270.70349652 
0-7,7.8254,0.0,-4270.69559474 
1-0,0.0,1.1179142857142856,-4270.70349561 
1-1,1.1179142857142856,1.1179142857142856,-4270.71312017 
1-2,2.2358285714285713,1.1179142857142856,-4270.71734376 
1-3,3.353742857142857,1.1179142857142856,-4270.70672559 
1-4,4.4716571428571426,1.1179142857142856,-4270.70672386 
1-5,5.589571428571428,1.1179142857142856,-4270.71734311 
1-6,6.707485714285714,1.1179142857142856,-4270.71312173 
1-7,7.8254,1.1179142857142856,-4270.70349561 
2-0,0.0,2.2358285714285713,-4270.70760119 
2-1,1.1179142857142856,2.2358285714285713,-4270.71734385 
2-2,2.2358285714285713,2.2358285714285713,-4270.72089878 
2-3,3.353742857142857,2.2358285714285713,-4270.71103956 
2-4,4.4716571428571426,2.2358285714285713,-4270.71103756 
2-5,5.589571428571428,2.2358285714285713,-4270.72089818 
2-6,6.707485714285714,2.2358285714285713,-4270.71734499 
2-7,7.8254,2.2358285714285713,-4270.70760119 
3-0,0.0,3.353742857142857,-4270.69810208 
3-1,1.1179142857142856,3.353742857142857,-4270.70672562 
3-2,2.2358285714285713,3.353742857142857,-4270.71103940 
3-3,3.353742857142857,3.353742857142857,-4270.70087763 
3-4,4.4716571428571426,3.353742857142857,-4270.70087622 
3-5,5.589571428571428,3.353742857142857,-4270.71103879 
3-6,6.707485714285714,3.353742857142857,-4270.70672746 
3-7,7.8254,3.353742857142857,-4270.69810208 
4-0,0.0,4.4716571428571426,-4270.69810078 
4-1,1.1179142857142856,4.4716571428571426,-4270.70672388 
4-2,2.2358285714285713,4.4716571428571426,-4270.71103791 
4-3,3.353742857142857,4.4716571428571426,-4270.70087610 
4-4,4.4716571428571426,4.4716571428571426,-4270.70087486 
4-5,5.589571428571428,4.4716571428571426,-4270.71103720 
4-6,6.707485714285714,4.4716571428571426,-4270.70672544 
4-7,7.8254,4.4716571428571426,-4270.69810078 
5-0,0.0,5.589571428571428,-4270.70760050 
5-1,1.1179142857142856,5.589571428571428,-4270.71734327 
5-2,2.2358285714285713,5.589571428571428,-4270.72089847 
5-3,3.353742857142857,5.589571428571428,-4270.71103891 
5-4,4.4716571428571426,5.589571428571428,-4270.71103705 
5-5,5.589571428571428,5.589571428571428,-4270.72089783 
5-6,6.707485714285714,5.589571428571428,-4270.71734468 
5-7,7.8254,5.589571428571428,-4270.70760050 
6-0,0.0,6.707485714285714,-4270.70349686 
6-1,1.1179142857142856,6.707485714285714,-4270.71312190 
6-2,2.2358285714285713,6.707485714285714,-4270.71734536 
6-3,3.353742857142857,6.707485714285714,-4270.70672743 
6-4,4.4716571428571426,6.707485714285714,-4270.70672584 
6-5,5.589571428571428,6.707485714285714,-4270.71734480 
6-6,6.707485714285714,6.707485714285714,-4270.71312339 
6-7,7.8254,6.707485714285714,-4270.70349686 
7-0,0.0,7.8254,-4270.69559474 
7-1,1.1179142857142856,7.8254,-4270.70349539 
7-2,2.2358285714285713,7.8254,-4270.70760102 
7-3,3.353742857142857,7.8254,-4270.69810227 
7-4,4.4716571428571426,7.8254,-4270.69810072 
7-5,5.589571428571428,7.8254,-4270.70760038 
7-6,6.707485714285714,7.8254,-4270.70349652 
7-7,7.8254,7.8254,-4270.69559474 
