,Variable 1,Variable 2,Silhouette Score
0,G1 - r= 7,G2-0 R_cut = 7,0.6389506484461149
4205,G2-2 R_cut = 11,G5-3  R_cut = 11,0.6389506484461149
4150,G2-2 R_cut = 11,G4-2  R_cut = 7,0.6389506484461149
4163,G2-2 R_cut = 11,G4-3  R_cut = 8,0.6389506484461149
4169,G2-2 R_cut = 11,G5-3  R_cut = 8,0.6389506484461149
4175,G2-2 R_cut = 11,G4-3  R_cut = 9,0.6389506484461149
4176,G2-2 R_cut = 11,G4-4  R_cut = 9,0.6389506484461149
4181,G2-2 R_cut = 11,G5-3  R_cut = 9,0.6389506484461149
4187,G2-2 R_cut = 11,G4-3  R_cut = 10,0.6389506484461149
4193,G2-2 R_cut = 11,G5-3  R_cut = 10,0.6389506484461149
4199,G2-2 R_cut = 11,G4-3  R_cut = 11,0.6389506484461149
4211,G2-2 R_cut = 11,G4-3  R_cut = 12,0.6389506484461149
4131,G2-1 R_cut = 11,G5-3  R_cut = 12,0.6389506484461149
4217,G2-2 R_cut = 11,G5-3  R_cut = 12,0.6389506484461149
4221,G2-3 R_cut = 11,G3-1 R_cut = 11,0.6389506484461149
4224,G2-3 R_cut = 11,G1 - r= 12,0.6389506484461149
4235,G2-3 R_cut = 11,G4-2  R_cut = 7,0.6389506484461149
4248,G2-3 R_cut = 11,G4-3  R_cut = 8,0.6389506484461149
4249,G2-3 R_cut = 11,G4-4  R_cut = 8,0.6389506484461149
4250,G2-3 R_cut = 11,G4-5  R_cut = 8,0.6389506484461149
4254,G2-3 R_cut = 11,G5-3  R_cut = 8,0.6389506484461149
4256,G2-3 R_cut = 11,G5-5  R_cut = 8,0.6389506484461149
4139,G2-2 R_cut = 11,G1 - r= 12,0.6389506484461149
4125,G2-1 R_cut = 11,G4-3  R_cut = 12,0.6389506484461149
3956,G1 - r= 11,G5-3  R_cut = 12,0.6389506484461149
4033,G2-0 R_cut = 11,G5-4  R_cut = 11,0.6389506484461149
3977,G2-0 R_cut = 11,G4-2  R_cut = 7,0.6389506484461149
3990,G2-0 R_cut = 11,G4-3  R_cut = 8,0.6389506484461149
3996,G2-0 R_cut = 11,G5-3  R_cut = 8,0.6389506484461149
4002,G2-0 R_cut = 11,G4-3  R_cut = 9,0.6389506484461149
4008,G2-0 R_cut = 11,G5-3  R_cut = 9,0.6389506484461149
4014,G2-0 R_cut = 11,G4-3  R_cut = 10,0.6389506484461149
4020,G2-0 R_cut = 11,G5-3  R_cut = 10,0.6389506484461149
4026,G2-0 R_cut = 11,G4-3  R_cut = 11,0.6389506484461149
4032,G2-0 R_cut = 11,G5-3  R_cut = 11,0.6389506484461149
4038,G2-0 R_cut = 11,G4-3  R_cut = 12,0.6389506484461149
4113,G2-1 R_cut = 11,G4-3  R_cut = 11,0.6389506484461149
4044,G2-0 R_cut = 11,G5-3  R_cut = 12,0.6389506484461149
4053,G2-1 R_cut = 11,G1 - r= 12,0.6389506484461149
4064,G2-1 R_cut = 11,G4-2  R_cut = 7,0.6389506484461149
4077,G2-1 R_cut = 11,G4-3  R_cut = 8,0.6389506484461149
4083,G2-1 R_cut = 11,G5-3  R_cut = 8,0.6389506484461149
4089,G2-1 R_cut = 11,G4-3  R_cut = 9,0.6389506484461149
4095,G2-1 R_cut = 11,G5-3  R_cut = 9,0.6389506484461149
4101,G2-1 R_cut = 11,G4-3  R_cut = 10,0.6389506484461149
4107,G2-1 R_cut = 11,G5-3  R_cut = 10,0.6389506484461149
4260,G2-3 R_cut = 11,G4-3  R_cut = 9,0.6389506484461149
4261,G2-3 R_cut = 11,G4-4  R_cut = 9,0.6389506484461149
4262,G2-3 R_cut = 11,G4-5  R_cut = 9,0.6389506484461149
4369,G3-0 R_cut = 11,G4-4  R_cut = 11,0.6389506484461149
4346,G3-0 R_cut = 11,G4-5  R_cut = 9,0.6389506484461149
4350,G3-0 R_cut = 11,G5-3  R_cut = 9,0.6389506484461149
4351,G3-0 R_cut = 11,G5-4  R_cut = 9,0.6389506484461149
4352,G3-0 R_cut = 11,G5-5  R_cut = 9,0.6389506484461149
4357,G3-0 R_cut = 11,G4-4  R_cut = 10,0.6389506484461149
4358,G3-0 R_cut = 11,G4-5  R_cut = 10,0.6389506484461149
4360,G3-0 R_cut = 11,G5-1  R_cut = 10,0.6389506484461149
4362,G3-0 R_cut = 11,G5-3  R_cut = 10,0.6389506484461149
4363,G3-0 R_cut = 11,G5-4  R_cut = 10,0.6389506484461149
4370,G3-0 R_cut = 11,G4-5  R_cut = 11,0.6389506484461149
4266,G2-3 R_cut = 11,G5-3  R_cut = 9,0.6389506484461149
4374,G3-0 R_cut = 11,G5-3  R_cut = 11,0.6389506484461149
4375,G3-0 R_cut = 11,G5-4  R_cut = 11,0.6389506484461149
4376,G3-0 R_cut = 11,G5-5  R_cut = 11,0.6389506484461149
4381,G3-0 R_cut = 11,G4-4  R_cut = 12,0.6389506484461149
4382,G3-0 R_cut = 11,G4-5  R_cut = 12,0.6389506484461149
4386,G3-0 R_cut = 11,G5-3  R_cut = 12,0.6389506484461149
4387,G3-0 R_cut = 11,G5-4  R_cut = 12,0.6389506484461149
4388,G3-0 R_cut = 11,G5-5  R_cut = 12,0.6389506484461149
4397,G3-1 R_cut = 11,G3-1 R_cut = 12,0.6389506484461149
4345,G3-0 R_cut = 11,G4-4  R_cut = 9,0.6389506484461149
4340,G3-0 R_cut = 11,G5-5  R_cut = 8,0.6389506484461149
4339,G3-0 R_cut = 11,G5-4  R_cut = 8,0.6389506484461149
4338,G3-0 R_cut = 11,G5-3  R_cut = 8,0.6389506484461149
4268,G2-3 R_cut = 11,G5-5  R_cut = 9,0.6389506484461149
