,Variable 1,Variable 2,Silhouette Score
7874,G5-4  R_cut = 12,G5-5  R_cut = 12,0.6389506484461993
1088,G3-3 R_cut = 7,G5-5  R_cut = 12,0.6389506484461993
1086,G3-3 R_cut = 7,G5-3  R_cut = 12,0.6389506484461993
6963,G4-4  R_cut = 9,G4-3  R_cut = 12,0.6389506484461993
1082,G3-3 R_cut = 7,G4-5  R_cut = 12,0.6389506484461993
1081,G3-3 R_cut = 7,G4-4  R_cut = 12,0.6389506484461993
1080,G3-3 R_cut = 7,G4-3  R_cut = 12,0.6389506484461993
6964,G4-4  R_cut = 9,G4-4  R_cut = 12,0.6389506484461993
6965,G4-4  R_cut = 9,G4-5  R_cut = 12,0.6389506484461993
3317,G2-2 R_cut = 10,G3-1 R_cut = 10,0.6389506484461993
1076,G3-3 R_cut = 7,G5-5  R_cut = 11,0.6389506484461993
1075,G3-3 R_cut = 7,G5-4  R_cut = 11,0.6389506484461993
1074,G3-3 R_cut = 7,G5-3  R_cut = 11,0.6389506484461993
3318,G2-2 R_cut = 10,G3-2 R_cut = 10,0.6389506484461993
6969,G4-4  R_cut = 9,G5-3  R_cut = 12,0.6389506484461993
6970,G4-4  R_cut = 9,G5-4  R_cut = 12,0.6389506484461993
1070,G3-3 R_cut = 7,G4-5  R_cut = 11,0.6389506484461993
1069,G3-3 R_cut = 7,G4-4  R_cut = 11,0.6389506484461993
1068,G3-3 R_cut = 7,G4-3  R_cut = 11,0.6389506484461993
6971,G4-4  R_cut = 9,G5-5  R_cut = 12,0.6389506484461993
3320,G2-2 R_cut = 10,G1 - r= 11,0.6389506484461993
1064,G3-3 R_cut = 7,G5-5  R_cut = 10,0.6389506484461993
1063,G3-3 R_cut = 7,G5-4  R_cut = 10,0.6389506484461993
1087,G3-3 R_cut = 7,G5-4  R_cut = 12,0.6389506484461993
3314,G2-1 R_cut = 10,G5-5  R_cut = 12,0.6389506484461993
7005,G4-5  R_cut = 9,G4-3  R_cut = 12,0.6389506484461993
6959,G4-4  R_cut = 9,G5-5  R_cut = 11,0.6389506484461993
6934,G4-4  R_cut = 9,G5-4  R_cut = 9,0.6389506484461993
6935,G4-4  R_cut = 9,G5-5  R_cut = 9,0.6389506484461993
5234,G3-2 R_cut = 12,G5-5  R_cut = 11,0.6389506484461993
5903,G5-2  R_cut = 7,G4-5  R_cut = 11,0.6389506484461993
3307,G2-1 R_cut = 10,G4-4  R_cut = 12,0.6389506484461993
